plant_id,ghgrp_id,plant_name,lat,lon,address,state,municipality,subregion,subregion_name,region,eaf_capacity_tonnes_of_steel_per_year,co2e_tonnes_per_mwh,co2e_tonnes_2021,scope1_co2e_tonnes_2021,scope2_co2e_tonnes_2021
SUS00054,1006530,Cleveland-Cliffs Mansfield Works,40.790123, -82.526239,"913 Bowman Street, Mansfield, OH 44903",Ohio,Mansfield,RFCW,RFC West,Midwest,600000,0.735,310072.828,117382,192690.828
SUS00056,1003688,Steel Dynamics Engineered Bar Products steel plant,39.875508, -86.484214,"8000 North County Road 225 East , Pittsboro, Indiana 46167-9094",Indiana,Pittsboro,RFCW,RFC West,Great Lakes,725000,0.735,472194.623,192833,279361.623
SUS00059,1007866,NLMK Indiana steel plant,41.625912, -87.159989,"6500 S Boundary Rd, Portage, IN 46368, United States",Indiana,Portage,RFCW,RFC West,Great Lakes,770000,0.735,424718.31,128017,296701.31
SUS00040,1005584,Steel Dynamics Butler plant,41.370640, -84.917454,"4500 County Road 59, Butler, Indiana 46721, United States",Indiana,Butler,RFCW,RFC West,Great Lakes,3000000,0.735,2077990.129,922011,1155979.129
SUS00041,1005602,Steel Dynamics Columbia City plant,41.121613, -85.348602,"2601 County Road 700 East, Columbia City, Indiana 46725, United States",Indiana,Columbia City,RFCW,RFC West,Great Lakes,2000000,0.735,1122321.753,351669,770652.753
SUS00022,1004151,Nucor Steel Crawfordsville plant,39.976379, -86.830727,"4537 South Nucor Road, Crawfordsville, Indiana 47933, United States",Indiana,Crawfordsville,RFCW,RFC West,Great Lakes,2304000,0.735,1242107.971,354316,887791.971
SUS00067,1004411,Gerdau Monroe steel plant,41.894229, -83.358697,"3000 E Front St, Monroe, MI 48161, United States",Michigan,Monroe,RFCM,RFC Michigan,Great Lakes,771000,0.744,410534.477,109759,300775.477
SUS00017,1002147,SSAB Americas Iowa steel plant,41.482009, -90.820921,"1770 Bill Sharp Boulevard, Muscatine, Iowa 52761, United States",Iowa,Muscatine,MROW,MRO West,Midwest,1250000,0.884,831946.844,349496,482450.844
SUS00069,1006901,Charter Steel Saukville plant,43.400533, -87.94820,"1658 Cold Springs Road, Saukville, WI 53080, United States",Wisconsin,Saukville,RFCW,RFC West,Great Lakes,550000,0.735,360734.507,148805,211929.507
SUS00062,1008735,Finkl Steel Chicago plant,41.724915, -87.589968,"1355 East 93rd Street, Chicago, IL 60619, United States",Illinois,Chicago,RFCW,RFC West,Great Lakes,573000,0.735,262396.014,41604,220792.014
SUS00030,1002621,Nucor Steel Kankakee plant,41.180734, -87.856196,"One Nucor Way, Bourbonnais, Illinois 60914, United States",Illinois,Bourbonnais,RFCW,RFC West,Great Lakes,794000,0.735,418710.143,112761,305949.143
SUS00044,1006269,Leggett & Platt Sterling Steel plant,41.785971, -89.710947,"101, Ave K, Sterling, Illinois 61081, United States",Illinois,Sterling,RFCW,RFC West,Midwest,1698000,0.735,633211.042,87896,545315.042
SUS00060,1004811,Liberty Steel & Wire Peoria plant,41.513249, -87.621438,"7000 S W Adams St. Peoria, IL 61641, United States",Illinois,Peoria,RFCW,RFC West,Midwest,725000,0.735,374873.75,142039,232834.75
SUS00082,1003268,Alton Steel plant,38.884465, -90.14579,"#5 Cut St, Alton, IL 62002 United States",Illinois,Alton,SRMW,SERC Midwest,Midwest,680388.75,0.893,300509.468,35074,265435.468
SUS00026,1007695,Nucor Steel Norfolk plant,42.078908, -97.360854,"2911 East Nucor Road, Norfolk, Nebraska 68701, United States",Nebraska,Norfolk,MROW,MRO West,Midwest,1134000,0.884,643465.405,205786,437679.405
SUS00011,1012997,U.S. Steel Big River Steel plant,35.644264, -89.941659,"2027 State Hwy 198, Osceola, Arkansas 72370, United States",Arkansas,Osceola,SRMV,SERC Mississippi Valley,Southern,3300000,0.481,1592987.525,527966,1065021.525
SUS00066,1003052,Gerdau Fort Smith steel plant,35.307055, -94.372912,"5225 Planters Rd, Fort Smith, AR 72916, United States",Arkansas,Fort Smith,SRMV,SERC Mississippi Valley,Southern,550000,0.481,272165.588,94662,177503.588
SUS00031,1005832,Nucor Steel Jewett plant,31.351853, -96.165436,"8812 Highway 79 West, Jewett, Texas 75846, United States",Texas,Jewett,SRMV,SERC Mississippi Valley,Southern,907000,0.481,469247.553,176528,292719.553
SUS00014,1005344,Gerdau Midlothian Steel Mill,32.457544, -97.034246,"300 Ward Road, 76065 Midlothian, Texas, United States",Texas,Midlothian,ERCT,ERCOT All,Southern,1786000,0.571,956922.234,272784,684138.234
SUS00012,1004259,CMC Steel Texas plant,29.577459, -98.032017,"1 Steel Mill Dr., Seguin, Texas 78155, United States",Texas,Seguin,ERCT,ERCOT All,Southern,943000,0.571,583541.923,222320,361221.923
SUS00013,1003902,Evraz Pueblo steel plant,38.225770, -104.607895,"2100 South Freeway, Pueblo, Colorado 81004, United States",Colorado,Pueblo,RMPA,WECC Rockies,Western,1100000,0.84,801637.177,243554,558083.177
SUS00034,1005777,Nucor Steel Plymouth plant,41.882789, -112.196743,"7285 W 21200 N West Cemetery Road, Plymouth, Utah 84330, United States",Utah,Plymouth,NWPP,WECC Northwest,Western,908000,0.694,607870.558,227152,380718.558
SUS00078,1004038,CMC Arizona steel plant,33.285828, -111.586561,"11444 East Germann Rd., Mesa, AZ 85212, United States",Arizona,Mesa,AZNM,WECC Southwest,Western,354000,0.591,187356.336,60957,126399.336
SUS00068,1005755,Cascade Steel Rolling Mills,45.228035, -123.163599,"3200 NE Highway 99W, McMinnville, OR 97128 US",Oregon,McMinnville,NWPP,WECC Northwest,Western,860000,0.694,429049.467,68457,360592.467
SUS00035,1000029,Nucor Steel Seattle plant,47.569597, -122.367395,"2424 SW Andover Street, Seattle, Washington 98106, United States",Washington,Seattle,NWPP,WECC Northwest,Western,855000,0.694,456007.999,97512,358495.999
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Pennsylvania,Lyndora,RFCE,RFC East,North East,1000000,0.505,294425.23,35074,259351.23
SUS00007,1003668,Cleveland-Cliffs Coatesville steel plant,39.977819, -75.824512,"139 Modena Road, Coatesville, PA 19230, United States",Pennsylvania,Coatesville,RFCE,RFC East,North East,800000,0.505,356950.984,149470,207480.984
SUS00015,1000394,Gerdau Petersburg Steel Mill,37.181168, -77.449517,"25801 Hofheimer Way, Petersburg, Virginia 23805, United States",Virginia,Petersburg,SRVC,SERC Virginia/Carolina,Southern,1000000,0.538,501427.801,140045,361382.801
SUS00019,1002977,North American Stainless steel plant,38.725418, -85.076015,"6870 Highway 42 East, Ghent, Kentucky, 41045-9615, United States",Kentucky,Ghent,SRTV,SERC Tennessee Valley,Midwest,1600000,0.725,858703.433,352251,506452.433
SUS00025,1007642,Nucor Steel Hickman plant,35.901162, -89.776190,"5929 East State Highway 18, Armorel, Arkansas 72315, United States",Arkansas,Armorel,SRMV,SERC Mississippi Valley,Southern,2450000,0.481,1244803.799,454106,790697.799
SUS00029,1005700,Nucor Steel Gallatin plant,38.759878, -84.996204,"4831 U.S. Hwy 42 W, Ghent, Kentucky 41405, United States",Kentucky,Ghent,SRTV,SERC Tennessee Valley,Midwest,1452000,0.725,678615.583,219010,459605.583
SUS00032,1007921,Nucor-Yamato Steel Blytheville plant,35.941421, -89.713819,"7301 East County Road 142, Blytheville, Arkansas 72315, United States",Arkansas,Blytheville,SRTV,SERC Tennessee Valley,Southern,2632000,0.725,1749592.371,469008,1280584.371
SUS00042,1004616,Steel Dynamics Columbus plant,33.447580, -88.572683,"1945 Airport Road / P.O. Box 1467, Columbus, Mississippi 39701, United States",Mississippi,Columbus,SRTV,SERC Tennessee Valley,Southern,3400000,0.725,2229459.327,575209,1654250.327
SUS00058,1007348,Optimus Steel Beaumont plant,30.08201, -94.074694,"PO BOX 3869, Beaumont, TX 77704, United States",Texas,Beaumont,SRMV,SERC Mississippi Valley,Southern,700000,0.481,297450.657,71537,225913.657
