plant_id,plant_name,owner,lat,lon,state,plant_age_years,municipality,address,category_steel_product,steel_products,subregion,subregion_name,co2e_tonnes_per_mwh,region,estimated_emissions_intensity_tonne_per_tonne,max_tonnes_of_steel_producible_annually,max_tonnes_of_steel_producible_weekly,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01
SUS00011,U.S. Steel Big River Steel plant,Big River Steel LLC,35.644264, -89.941659,Arkansas,9.0,Osceola,"2027 State Hwy 198, Osceola, Arkansas 72370, United States",finished rolled,"electrical steel, hot-rolled, hot-rolled pickled and oiled, cold-rolled, cold-rolled motor lamination, galvanized",SRMV,SERC Mississippi Valley,0.481,Southern,0.341,3300000,63461.538,54824.741,54511.008,54275.709,55687.505,55530.639,56864.001,54903.174,56079.67,58040.498,57648.333,56785.568,55844.371,58197.364,58040.498,58589.53,58354.23,59295.428,59060.128,60158.192,59766.026,62197.453,61726.854,62275.886,61413.122,61569.988,60550.357,63060.217,62981.784,62903.351,63922.981,62903.351,62668.051,63922.981,63609.249,60471.924,61648.421,60864.09,61648.421,60707.224,60236.625,61805.287,61334.688,61256.255,60864.09,61334.688,61726.854,60236.625,58667.963,58354.23,58432.664,56314.97,55452.206
SUS00013,Evraz Pueblo steel plant,Evraz North America PLC,38.225770, -104.607895,Colorado,142.0,Pueblo,"2100 South Freeway, Pueblo, Colorado 81004, United States",finished rolled,"rail, wire rod, coiled reinforcing bar, seamless pipe",RMPA,WECC Rockies,0.84,Western,0.596,1100000,21153.846,16967.041,17451.814,16724.655,17451.814,16724.655,18178.973,17451.814,17936.586,16967.041,15270.337,14785.564,18421.359,17209.427,16724.655,17694.2,17209.427,17209.427,18421.359,18906.131,19390.904,17936.586,18178.973,17936.586,18663.745,17694.2,18421.359,18421.359,19148.518,18178.973,17936.586,18178.973,17694.2,18421.359,17936.586,18178.973,19390.904,18421.359,16967.041,18421.359,19390.904,19633.29,18421.359,19148.518,18906.131,18178.973,18663.745,18178.973,18421.359,18906.131,17936.586,16967.041,16724.655
SUS00073,CMC Steel Florida plant,Commercial Metals Co,30.282907, -81.978735,Florida,17.0,Jacksonville,"16770 Rebar Road, Jacksonville, FL 32234, United States",finished rolled,rebar; wire rod,FRCC,FRCC All,0.449,Southern,0.319,949000,18250,15766.266,15676.045,15608.378,16014.376,15969.265,16352.708,15788.822,16127.154,16691.04,16578.263,16330.153,16059.487,16736.151,16691.04,16848.928,16781.262,17051.928,16984.261,17300.038,17187.26,17886.48,17751.147,17909.035,17660.925,17706.036,17412.815,18134.59,18112.034,18089.479,18382.7,18089.479,18021.812,18382.7,18292.478,17390.259,17728.591,17503.037,17728.591,17457.926,17322.593,17773.702,17638.37,17615.814,17503.037,17638.37,17751.147,17322.593,16871.484,16781.262,16803.817,16194.82,15946.71
SUS00063,Gerdau Cartersville steel plant,Gerdau Long Steel North America,34.241226, -84.799539,Georgia,27.0,Cartersville,"384 Old Grassdale Rd NE, Cartersville, GA 30121, United States",semi-finished; finished rolled,angles; channels; flats; unequal angles,SRSO,SERC South,0.542,Southern,0.385,908000,17461.538,15085.11,14998.787,14934.044,15322.501,15279.339,15646.216,15106.691,15430.406,15969.931,15862.026,15624.635,15365.663,16013.093,15969.931,16120.998,16056.255,16315.227,16250.484,16552.618,16444.713,17113.723,16984.237,17135.304,16897.913,16941.075,16660.523,17351.114,17329.533,17307.952,17588.505,17307.952,17243.209,17588.505,17502.181,16638.942,16962.656,16746.847,16962.656,16703.685,16574.199,17005.818,16876.332,16854.751,16746.847,16876.332,16984.237,16574.199,16142.579,16056.255,16077.836,15495.149,15257.758
SUS00082,Alton Steel plant,Alton Steel Inc,38.884465, -90.14579,Illinois,20.0,Alton,"#5 Cut St, Alton, IL 62002 United States",finished rolled,SBQ; coil; MBQ; RCS,SRMW,SERC Midwest,0.893,Midwest,0.634,680388.75,13084.399,7651.867,7984.557,7859.798,7735.039,7568.694,7859.798,7610.28,7527.108,7443.936,7568.694,7651.867,7859.798,7651.867,7277.591,7610.28,7859.798,7693.453,7485.522,7776.625,7651.867,7776.625,8026.143,8150.902,8067.729,8150.902,8400.419,7942.97,8275.66,8317.246,8275.66,8150.902,8400.419,8358.833,8234.074,8026.143,8483.591,8525.178,8400.419,8150.902,7942.97,8109.315,8358.833,8483.591,8275.66,8442.005,8525.178,8275.66,8358.833,8566.764,8358.833,8234.074,8192.488
SUS00030,Nucor Steel Kankakee plant,Nucor Steel Kankakee Inc,41.180734, -87.856196,Illinois,62.0,Bourbonnais,"One Nucor Way, Bourbonnais, Illinois 60914, United States",finished rolled,bar; grating,RFCW,RFC West,0.735,Great Lakes,0.522,794000,15269.231,10787.531,11146.517,11020.872,10913.176,10751.633,10751.633,11433.706,11200.365,10931.126,11254.213,11128.568,11074.72,10949.075,11182.416,10823.43,10967.024,11056.771,11038.822,11056.771,11146.517,11397.808,11595.25,11254.213,11379.858,11577.301,11631.149,11523.453,11343.96,11523.453,11343.96,11505.503,11451.655,11415.757,11451.655,11667.047,11451.655,11505.503,11667.047,11649.098,11451.655,11469.605,11397.808,11092.669,10984.974,11110.619,11074.72,11218.315,11092.669,11146.517,11110.619,11415.757,11290.112
SUS00062,Finkl Steel Chicago plant,A Finkl & Sons Co,41.724915, -87.589968,Illinois,12.0,Chicago,"1355 East 93rd Street, Chicago, IL 60619, United States",crude; semi-finished; finished rolled,mold steel; die steel; die casting; cold work; bars & custom forgings; billets & ingots,RFCW,RFC West,0.735,Great Lakes,0.522,573000,11019.231,7784.956,8044.023,7953.35,7875.63,7759.05,7759.05,8251.277,8082.883,7888.583,8121.743,8031.07,7992.21,7901.536,8069.93,7810.863,7914.49,7979.257,7966.303,7979.257,8044.023,8225.37,8367.857,8121.743,8212.417,8354.903,8393.763,8316.043,8186.51,8316.043,8186.51,8303.09,8264.23,8238.323,8264.23,8419.67,8264.23,8303.09,8419.67,8406.717,8264.23,8277.183,8225.37,8005.163,7927.443,8018.117,7992.21,8095.837,8005.163,8044.023,8018.117,8238.323,8147.65
SUS00060,Liberty Steel & Wire Peoria plant,Liberty Steel,41.513249, -87.621438,Illinois,25.0,Peoria,"7000 S W Adams St. Peoria, IL 61641, United States",semi-finished; finished rolled,"billet, industrial wire, welded wire reinforcement mesh, PC strand, industrial wire, wire rod, agricultural fence products, bar products billet (melting)",RFCW,RFC West,0.735,Midwest,0.522,725000,13942.308,8153.579,8508.082,8375.144,8242.205,8064.953,8375.144,8109.266,8020.64,7932.014,8064.953,8153.579,8375.144,8153.579,7754.763,8109.266,8375.144,8197.892,7976.327,8286.518,8153.579,8286.518,8552.395,8685.334,8596.708,8685.334,8951.212,8463.769,8818.273,8862.586,8818.273,8685.334,8951.212,8906.899,8773.96,8552.395,9039.838,9084.15,8951.212,8685.334,8463.769,8641.021,8906.899,9039.838,8818.273,8995.525,9084.15,8818.273,8906.899,9128.463,8906.899,8773.96,8729.647
SUS00044,Leggett & Platt Sterling Steel plant,Sterling Steel Co LLC,41.785971, -89.710947,Illinois,20.0,Sterling,"101, Ave K, Sterling, Illinois 61081, United States",semi-finished; finished rolled,"billet, rod",RFCW,RFC West,0.735,Midwest,0.522,1698000,32653.846,19096.244,19926.516,19615.164,19303.812,18888.676,19615.164,18992.46,18784.892,18577.324,18888.676,19096.244,19615.164,19096.244,18162.189,18992.46,19615.164,19200.028,18681.108,19407.596,19096.244,19407.596,20030.3,20341.651,20134.084,20341.651,20964.355,19822.732,20653.003,20756.787,20653.003,20341.651,20964.355,20860.571,20549.219,20030.3,21171.923,21275.707,20964.355,20341.651,19822.732,20237.867,20860.571,21171.923,20653.003,21068.139,21275.707,20653.003,20860.571,21379.491,20860.571,20549.219,20445.435
SUS00040,Steel Dynamics Butler plant,Steel Dynamics Inc,41.370640, -84.917454,Indiana,27.0,Butler,"4500 County Road 59, Butler, Indiana 46721, United States",semi-finished; finished rolled,sheet,RFCW,RFC West,0.735,Great Lakes,0.522,3000000,57692.308,40758.934,42115.305,41640.575,41233.664,40623.297,40623.297,43200.401,42318.76,41301.482,42522.216,42047.486,41844.031,41369.301,42250.942,40894.571,41437.12,41776.212,41708.394,41776.212,42115.305,43064.764,43810.768,42522.216,42996.946,43742.949,43946.405,43539.494,42861.309,43539.494,42861.309,43471.675,43268.22,43132.583,43268.22,44082.042,43268.22,43471.675,44082.042,44014.224,43268.22,43336.038,43064.764,41911.849,41504.938,41979.668,41844.031,42386.579,41911.849,42115.305,41979.668,43132.583,42657.853
SUS00041,Steel Dynamics Columbia City plant,Steel Dynamics Inc,41.121613, -85.348602,Indiana,21.0,Columbia City,"2601 County Road 700 East, Columbia City, Indiana 46725, United States",finished rolled,"structurals, rail",RFCW,RFC West,0.735,Great Lakes,0.522,2000000,38461.538,27172.623,28076.87,27760.383,27489.109,27082.198,27082.198,28800.267,28212.507,27534.322,28348.144,28031.657,27896.02,27579.534,28167.295,27263.048,27624.746,27850.808,27805.596,27850.808,28076.87,28709.843,29207.179,28348.144,28664.63,29161.966,29297.603,29026.329,28574.206,29026.329,28574.206,28981.117,28845.48,28755.055,28845.48,29388.028,28845.48,28981.117,29388.028,29342.816,28845.48,28890.692,28709.843,27941.233,27669.959,27986.445,27896.02,28257.719,27941.233,28076.87,27986.445,28755.055,28438.569
