plant_id,ghgrp_id,plant_name,lat,lon,address,owner,state,plant_age_years,municipality,category_steel_product,steel_products,subregion,subregion_name,region,co2e_tonnes_per_mwh,estimated_emissions_intensity_tonne_per_tonne_scope2,max_tonnes_of_steel_producible_annually,max_tonnes_of_steel_producible_weekly,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01
SUS00018,NA,JSW Steel USA Ohio plant,40.314891, -80.605553,"1500 Commercial Avenue, Mingo Junction, Ohio 43938, United States",Jsw Steel USA Ohio Inc,Ohio,5.0,Mingo Junction,finished rolled,hot rolled coils,RFCW,RFC West,North East,0.735,0.522,1500000,28846.154,NA,9969.889,10512.468,10376.824,10512.468,10648.113,10444.646,11122.87,11258.514,10783.758,10444.646,11122.87,11258.514,10851.58,10173.356,10241.179,9902.067,9969.889,9427.31,9698.6,10241.179,9223.843,9766.422,9427.31,9902.067,10105.534,10580.291,10715.935,10648.113,10105.534,10309.001,12004.561,11801.093,11936.738,11665.449,12004.561,12275.85,12140.205,11936.738,12072.383,11936.738,12004.561,11868.916,11529.804,11122.87,11461.982,11258.514,12208.028,12411.495
SUS00019,1002977,North American Stainless steel plant,38.725418, -85.076015,"6870 Highway 42 East, Ghent, Kentucky, 41045-9615, United States",North American Stainless Inc,Kentucky,33.0,Ghent,finished rolled,stainless flat and long products,SRTV,SERC Tennessee Valley,Midwest,0.725,0.515,1600000,30769.231,NA,9158.666,9510.923,9208.989,9108.344,9007.699,9158.666,9259.311,9510.923,9259.311,8806.41,9208.989,9510.923,9309.633,9058.021,9410.278,9259.311,9410.278,9712.212,9863.179,9762.534,9863.179,10165.113,9611.567,10014.146,10064.468,10014.146,9863.179,10165.113,10114.791,9963.824,9712.212,10265.758,10316.08,10165.113,9863.179,9611.567,9812.857,10114.791,10265.758,10014.146,10215.435,10316.08,10014.146,10114.791,10366.402,10114.791,9963.824,9913.501
SUS00020,NA,BlueScope North Star Steel plant,41.568783, -84.048129,"6767 County Road 9, Delta, Ohio 43515, United States",North Star BlueScope Steel LLC,Ohio,27.0,Delta,finished rolled,hot-rolled steel coils,RFCM,RFC Michigan,Great Lakes,0.744,0.529,2183000,41980.769,NA,15624.513,15624.513,16615.717,16276.621,15885.356,16354.874,16172.284,16094.031,15911.44,16250.537,15728.85,15937.525,16067.946,16041.862,16067.946,16198.368,16563.548,16850.476,16354.874,16537.464,16824.392,16902.645,16746.139,16485.295,16746.139,16485.295,16720.054,16641.801,16589.633,16641.801,16954.813,16641.801,16720.054,16954.813,16928.729,16641.801,16667.886,16563.548,16120.115,15963.609,16146.199,16094.031,16302.705,16120.115,16198.368,16146.199,16589.633,16407.042
SUS00021,NA,Nucor Steel Berkeley plant,33.004319, -79.880955,"1455 Hagan Avenue, Huger, South Carolina 29450, United States",Nucor Corp,South Carolina,27.0,Huger,finished rolled,beam; sheet,SRVC,SERC Virginia/Carolina,Southern,0.538,0.382,2956000,56846.154,NA,19011.515,19468.007,18796.696,19199.482,19870.793,19736.531,19441.154,19118.925,19924.498,19870.793,20058.76,19978.203,20300.432,20219.874,20595.808,20461.546,21293.971,21132.857,21320.824,21025.447,21079.152,20730.07,21589.348,21562.496,21535.643,21884.725,21535.643,21455.086,21884.725,21777.315,20703.218,21106.004,20837.48,21106.004,20783.775,20622.661,21159.709,20998.595,20971.742,20837.48,20998.595,21132.857,20622.661,20085.612,19978.203,20005.055,19280.04,18984.663
SUS00022,NA,Nucor Steel Crawfordsville plant,39.976379, -86.830727,"4537 South Nucor Road, Crawfordsville, Indiana 47933, United States",Nucor Corp,Indiana,34.0,Crawfordsville,finished rolled,sheet,RFCW,RFC West,Great Lakes,0.735,0.522,2304000,44307.692,NA,16288.306,16288.306,17321.621,16968.118,16560.231,17049.696,16859.348,16777.771,16587.423,16940.926,16397.076,16614.616,16750.578,16723.386,16750.578,16886.541,17267.236,17566.353,17049.696,17240.043,17539.161,17620.738,17457.583,17185.658,17457.583,17185.658,17430.391,17348.813,17294.428,17348.813,17675.123,17348.813,17430.391,17675.123,17647.931,17348.813,17376.006,17267.236,16804.963,16641.808,16832.156,16777.771,16995.311,16804.963,16886.541,16832.156,17294.428,17104.081
SUS00023,NA,Nucor Steel Darlington plant,34.375628, -79.895165,"300 Steel Mill Road, Darlington, South Carolina 29540, United States",Nucor Corp,South Carolina,54.0,Darlington,finished rolled,bar; engineered bar; cold finish,SRVC,SERC Virginia/Carolina,Southern,0.538,0.382,907000,17442.308,NA,5833.371,5973.438,5767.457,5891.045,6097.026,6055.83,5965.199,5866.328,6113.505,6097.026,6154.701,6129.983,6228.854,6204.136,6319.485,6278.289,6533.705,6484.27,6541.944,6451.313,6467.791,6360.681,6624.336,6616.097,6607.858,6714.968,6607.858,6583.14,6714.968,6682.011,6352.442,6476.03,6393.638,6476.03,6377.16,6327.724,6492.509,6443.074,6434.834,6393.638,6443.074,6484.27,6327.724,6162.94,6129.983,6138.222,5915.763,5825.132
SUS00024,NA,Nucor Steel Hertford plant,36.353006, -76.811471,"1505 River Road, Cofield, North Carolina 27922, United States",Nucor Corp,North Carolina,23.0,Cofield,semi-finished,plate,SRVC,SERC Virginia/Carolina,Southern,0.538,0.382,1542000,29653.846,NA,9917.374,10155.503,9805.313,10015.427,10365.617,10295.579,10141.495,9973.404,10393.632,10365.617,10463.67,10421.647,10589.738,10547.715,10743.822,10673.784,11108.019,11023.973,11122.026,10967.943,10995.958,10813.859,11262.102,11248.095,11234.087,11416.186,11234.087,11192.064,11416.186,11360.155,10799.852,11009.966,10869.89,11009.966,10841.875,10757.829,11037.981,10953.935,10939.928,10869.89,10953.935,11023.973,10757.829,10477.677,10421.647,10435.655,10057.45,9903.366
SUS00025,1007642,Nucor Steel Hickman plant,35.901162, -89.776190,"5929 East State Highway 18, Armorel, Arkansas 72315, United States",Nucor Corp,Arkansas,31.0,Armorel,finished rolled,sheet,SRMV,SERC Mississippi Valley,Southern,0.481,0.341,2450000,47115.385,NA,14071.985,14409.871,13912.979,14211.115,14708.007,14608.628,14389.996,14151.487,14747.758,14708.007,14847.136,14787.509,15026.018,14966.391,15244.65,15145.272,15761.418,15642.164,15781.294,15562.661,15602.412,15344.029,15980.05,15960.175,15940.299,16198.683,15940.299,15880.672,16198.683,16119.18,15324.153,15622.288,15423.531,15622.288,15383.78,15264.526,15662.04,15542.785,15522.91,15423.531,15542.785,15642.164,15264.526,14867.012,14787.509,14807.385,14270.742,14052.109
SUS00026,NA,Nucor Steel Norfolk plant,42.078908, -97.360854,"2911 East Nucor Road, Norfolk, Nebraska 68701, United States",Nucor Corp,Nebraska,44.0,Norfolk,finished rolled,bar; engineered bar,MROW,MRO West,Midwest,0.884,0.627,1134000,21807.692,NA,7914.977,8219.4,7958.466,7871.489,7784.511,7914.977,8001.955,8219.4,8001.955,7610.555,7958.466,8219.4,8045.444,7828,8132.422,8001.955,8132.422,8393.355,8523.822,8436.844,8523.822,8784.755,8306.377,8654.288,8697.777,8654.288,8523.822,8784.755,8741.266,8610.8,8393.355,8871.733,8915.222,8784.755,8523.822,8306.377,8480.333,8741.266,8871.733,8654.288,8828.244,8915.222,8654.288,8741.266,8958.711,8741.266,8610.8,8567.311
SUS00027,NA,Nucor Steel Memphis plant,35.048395, -90.163033,"3601 Paul R. Lowry Road, Memphis, Tennessee 38109, United States",Nucor Steel Memphis Inc,Tennessee,15.0,Memphis,finished rolled,bar; engineered bar,SRTV,SERC Tennessee Valley,Southern,0.725,0.515,891000,17134.615,NA,7715.158,7900.409,7627.981,7791.438,8063.866,8009.38,7889.512,7758.747,8085.66,8063.866,8140.146,8107.454,8238.22,8205.529,8358.088,8303.603,8641.413,8576.03,8652.31,8532.442,8554.236,8412.574,8761.281,8750.384,8739.487,8881.15,8739.487,8706.796,8881.15,8837.561,8401.677,8565.133,8456.162,8565.133,8434.368,8368.985,8586.928,8521.545,8510.648,8456.162,8521.545,8576.03,8368.985,8151.043,8107.454,8118.352,7824.129,7704.261
