plant_name,lat,lon,state,eaf_capacity,municipality,subregion,subregion_name,co2e_lb_per_mwh,region,emissions_intensity_co2e_lb_per_tonne,eaf_capacity_tonnes_of_steel_per_week,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01
Gerdau Monroe steel plant,41.894229, -83.358697,Michigan,771,Monroe,RFCM,RFC Michigan,1641.25,Great Lakes,1165.29,14826.92,5518.32,5518.32,5868.4,5748.64,5610.45,5776.27,5711.79,5684.15,5619.66,5739.42,5555.17,5628.87,5674.94,5665.72,5674.94,5721,5849.98,5951.31,5776.27,5840.76,5942.1,5969.74,5914.46,5822.34,5914.46,5822.34,5905.25,5877.61,5859.19,5877.61,5988.16,5877.61,5905.25,5988.16,5978.95,5877.61,5886.83,5849.98,5693.36,5638.09,5702.57,5684.15,5757.85,5693.36,5721,5702.57,5859.19,5794.7
Steel Dynamics Columbus plant,33.447580, -88.572683,Mississippi,3400,Columbus,SRTV,SERC Tennessee Valley,1597.81,Southern,1134.44,65384.62,29440.56,30147.47,29107.9,29731.64,30771.21,30563.29,30105.88,29606.89,30854.37,30771.21,31062.28,30937.54,31436.53,31311.78,31893.94,31686.03,32975.09,32725.59,33016.67,32559.26,32642.43,32101.85,33432.5,33390.92,33349.33,33889.91,33349.33,33224.59,33889.91,33723.58,32060.27,32684.01,32268.18,32684.01,32185.02,31935.52,32767.18,32517.68,32476.1,32268.18,32517.68,32725.59,31935.52,31103.87,30937.54,30979.12,29856.39,29398.98
Nucor Steel Norfolk plant,42.078908, -97.360854,Nebraska,1134,Norfolk,MROW,MRO West,1948.27,Midwest,1383.27,21807.69,7914.98,8219.4,7958.47,7871.49,7784.51,7914.98,8001.96,8219.4,8001.96,7610.56,7958.47,8219.4,8045.44,7828,8132.42,8001.96,8132.42,8393.36,8523.82,8436.84,8523.82,8784.76,8306.38,8654.29,8697.78,8654.29,8523.82,8784.76,8741.27,8610.8,8393.36,8871.73,8915.22,8784.76,8523.82,8306.38,8480.33,8741.27,8871.73,8654.29,8828.24,8915.22,8654.29,8741.27,8958.71,8741.27,8610.8,8567.31
CMC Steel New Jersey plant,40.478824, -74.321187,New Jersey,653,Sayreville,RFCE,RFC East,1112.27,North East,789.71,12557.69,2977.89,3139.95,3099.43,3139.95,3180.46,3119.69,3322.27,3362.78,3220.98,3119.69,3322.27,3362.78,3241.24,3038.66,3058.92,2957.63,2977.89,2815.83,2896.86,3058.92,2755.05,2917.11,2815.83,2957.63,3018.4,3160.21,3200.72,3180.46,3018.4,3079.18,3585.62,3524.85,3565.36,3484.33,3585.62,3666.65,3626.13,3565.36,3605.88,3565.36,3585.62,3545.1,3443.81,3322.27,3423.56,3362.78,3646.39,3707.17
Nucor Steel Hertford plant,36.353006, -76.811471,North Carolina,1542,Cofield,SRVC,SERC Virginia/Carolina,1186.78,Southern,842.61,29653.85,9917.37,10155.5,9805.31,10015.43,10365.62,10295.58,10141.5,9973.4,10393.63,10365.62,10463.67,10421.65,10589.74,10547.72,10743.82,10673.78,11108.02,11023.97,11122.03,10967.94,10995.96,10813.86,11262.1,11248.09,11234.09,11416.19,11234.09,11192.06,11416.19,11360.16,10799.85,11009.97,10869.89,11009.97,10841.87,10757.83,11037.98,10953.94,10939.93,10869.89,10953.94,11023.97,10757.83,10477.68,10421.65,10435.65,10057.45,9903.37
Republic Steel Canton plant,40.804114, -81.334002,Ohio,1092,Canton,RFCW,RFC West,1621.12,North East,1151,21000,7258.08,7653.08,7554.33,7653.08,7751.83,7603.7,8097.45,8196.2,7850.58,7603.7,8097.45,8196.2,7899.95,7406.2,7455.58,7208.7,7258.08,6863.08,7060.58,7455.58,6714.96,7109.96,6863.08,7208.7,7356.83,7702.45,7801.2,7751.83,7356.83,7504.95,8739.32,8591.2,8689.95,8492.45,8739.32,8936.82,8838.07,8689.95,8788.69,8689.95,8739.32,8640.57,8393.7,8097.45,8344.32,8196.2,8887.44,9035.57
Timken Faircrest steel plant,40.755388, -81.439369,Ohio,1200,Canton,RFCW,RFC West,1621.12,North East,1151,23076.92,7975.91,8409.97,8301.46,8409.97,8518.49,8355.72,8898.3,9006.81,8627.01,8355.72,8898.3,9006.81,8681.26,8138.69,8192.94,7921.65,7975.91,7541.85,7758.88,8192.94,7379.07,7813.14,7541.85,7921.65,8084.43,8464.23,8572.75,8518.49,8084.43,8247.2,9603.65,9440.87,9549.39,9332.36,9603.65,9820.68,9712.16,9549.39,9657.91,9549.39,9603.65,9495.13,9223.84,8898.3,9169.59,9006.81,9766.42,9929.2
Charter Steel Cleveland plant,41.443147, -81.659911,Ohio,635,Cuyahoga Heights,RFCW,RFC West,1621.12,Great Lakes,1151,12211.54,4489.18,4489.18,4773.97,4676.54,4564.13,4699.03,4646.57,4624.08,4571.62,4669.05,4519.16,4579.11,4616.59,4609.09,4616.59,4654.06,4758.98,4841.42,4699.03,4751.49,4833.93,4856.41,4811.44,4736.5,4811.44,4736.5,4803.95,4781.47,4766.48,4781.47,4871.4,4781.47,4803.95,4871.4,4863.9,4781.47,4788.96,4758.98,4631.58,4586.61,4639.07,4624.08,4684.04,4631.58,4654.06,4639.07,4766.48,4714.02
BlueScope North Star Steel plant EAF expansion,41.568783, -84.048129,Ohio,850,Delta,RFCM,RFC Michigan,1641.25,Great Lakes,1165.29,16346.15,6083.75,6083.75,6469.7,6337.67,6185.32,6368.14,6297.04,6266.57,6195.48,6327.51,6124.38,6205.63,6256.42,6246.26,6256.42,6307.2,6449.39,6561.11,6368.14,6439.23,6550.95,6581.42,6520.48,6418.92,6520.48,6418.92,6510.33,6479.86,6459.55,6479.86,6601.74,6479.86,6510.33,6601.74,6591.58,6479.86,6490.02,6449.39,6276.73,6215.79,6286.88,6266.57,6347.82,6276.73,6307.2,6286.88,6459.55,6388.45
BlueScope North Star Steel plant,41.568783, -84.048129,Ohio,2183,Delta,RFCM,RFC Michigan,1641.25,Great Lakes,1165.29,41980.77,15624.51,15624.51,16615.72,16276.62,15885.36,16354.87,16172.28,16094.03,15911.44,16250.54,15728.85,15937.52,16067.95,16041.86,16067.95,16198.37,16563.55,16850.48,16354.87,16537.46,16824.39,16902.64,16746.14,16485.3,16746.14,16485.3,16720.05,16641.8,16589.63,16641.8,16954.81,16641.8,16720.05,16954.81,16928.73,16641.8,16667.89,16563.55,16120.11,15963.61,16146.2,16094.03,16302.71,16120.11,16198.37,16146.2,16589.63,16407.04
Cleveland-Cliffs Mansfield Works,40.790123, -82.526239,Ohio,600,Mansfield,RFCW,RFC West,1621.12,Midwest,1151,11538.46,3484.61,3618.64,3503.76,3465.47,3427.17,3484.61,3522.91,3618.64,3522.91,3350.59,3503.76,3618.64,3542.05,3446.32,3580.34,3522.91,3580.34,3695.22,3752.66,3714.37,3752.66,3867.54,3656.93,3810.1,3829.25,3810.1,3752.66,3867.54,3848.39,3790.95,3695.22,3905.83,3924.98,3867.54,3752.66,3656.93,3733.51,3848.39,3905.83,3810.1,3886.68,3924.98,3810.1,3848.39,3944.12,3848.39,3790.95,3771.81
JSW Steel USA Ohio plant,40.314891, -80.605553,Ohio,1500,Mingo Junction,RFCW,RFC West,1621.12,North East,1151,28846.15,9969.89,10512.47,10376.82,10512.47,10648.11,10444.65,11122.87,11258.51,10783.76,10444.65,11122.87,11258.51,10851.58,10173.36,10241.18,9902.07,9969.89,9427.31,9698.6,10241.18,9223.84,9766.42,9427.31,9902.07,10105.53,10580.29,10715.94,10648.11,10105.53,10309,12004.56,11801.09,11936.74,11665.45,12004.56,12275.85,12140.21,11936.74,12072.38,11936.74,12004.56,11868.92,11529.8,11122.87,11461.98,11258.51,12208.03,12411.49
Vallourec Star Youngstown steel plant,41.125495, -80.683382,Ohio,694,Youngstown,RFCW,RFC West,1621.12,North East,1151,13346.15,4612.74,4863.77,4801.01,4863.77,4926.53,4832.39,5146.18,5208.94,4989.29,4832.39,5146.18,5208.94,5020.66,4706.87,4738.25,4581.36,4612.74,4361.7,4487.22,4738.25,4267.56,4518.6,4361.7,4581.36,4675.49,4895.15,4957.91,4926.53,4675.49,4769.63,5554.11,5459.97,5522.73,5397.21,5554.11,5679.63,5616.87,5522.73,5585.49,5522.73,5554.11,5491.35,5334.46,5146.18,5303.08,5208.94,5648.25,5742.38
Cascade Steel Rolling Mills,45.228035, -123.163599,Oregon,860,McMinnville,NWPP,WECC Northwest,1529.88,Western,1086.21,16538.46,6442.35,7002.55,6722.45,6909.18,6535.71,5882.14,5695.41,7095.92,6629.08,6442.35,6815.82,6629.08,6629.08,7095.92,7282.65,7469.39,6909.18,7002.55,6909.18,7189.29,6815.82,7095.92,7095.92,7376.02,7002.55,6909.18,7002.55,6815.82,7095.92,6909.18,7002.55,7469.39,7095.92,6535.71,7095.92,7469.39,7562.75,7095.92,7376.02,7282.65,7002.55,7189.29,7002.55,7095.92,7282.65,6909.18,6535.71,6442.35
Cleveland-Cliffs Coatesville steel plant,39.977819, -75.824512,Pennsylvania,800,Coatesville,RFCE,RFC East,1112.27,North East,789.71,15384.62,3648.25,3846.8,3797.16,3846.8,3896.43,3821.98,4070.16,4119.8,3946.07,3821.98,4070.16,4119.8,3970.89,3722.71,3747.53,3623.44,3648.25,3449.71,3548.98,3747.53,3375.26,3573.8,3449.71,3623.44,3697.89,3871.62,3921.25,3896.43,3697.89,3772.34,4392.8,4318.34,4367.98,4268.7,4392.8,4492.07,4442.43,4367.98,4417.61,4367.98,4392.8,4343.16,4219.07,4070.16,4194.25,4119.8,4467.25,4541.7
Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,Pennsylvania,1000,Lyndora,RFCE,RFC East,1112.27,North East,789.71,19230.77,4560.32,4808.5,4746.45,4808.5,4870.54,4777.48,5087.7,5149.75,4932.59,4777.48,5087.7,5149.75,4963.61,4653.38,4684.41,4529.29,4560.32,4312.14,4436.23,4684.41,4219.07,4467.25,4312.14,4529.29,4622.36,4839.52,4901.57,4870.54,4622.36,4715.43,5490.99,5397.93,5459.97,5335.88,5490.99,5615.08,5553.04,5459.97,5522.02,5459.97,5490.99,5428.95,5273.84,5087.7,5242.81,5149.75,5584.06,5677.13
Cleveland-Cliffs Steelton steel plant,40.230720, -76.838506,Pennsylvania,1000,Steelton,RFCE,RFC East,1112.27,North East,789.71,19230.77,4560.32,4808.5,4746.45,4808.5,4870.54,4777.48,5087.7,5149.75,4932.59,4777.48,5087.7,5149.75,4963.61,4653.38,4684.41,4529.29,4560.32,4312.14,4436.23,4684.41,4219.07,4467.25,4312.14,4529.29,4622.36,4839.52,4901.57,4870.54,4622.36,4715.43,5490.99,5397.93,5459.97,5335.88,5490.99,5615.08,5553.04,5459.97,5522.02,5459.97,5490.99,5428.95,5273.84,5087.7,5242.81,5149.75,5584.06,5677.13
CMC South Carolina steel plant,33.962272, -81.052011,South Carolina,776,Cayce,SRVC,SERC Virginia/Carolina,1186.78,Southern,842.61,14923.08,4990.84,5110.68,4934.45,5040.19,5216.42,5181.17,5103.63,5019.04,5230.52,5216.42,5265.76,5244.62,5329.21,5308.06,5406.75,5371.5,5590.03,5547.73,5597.08,5519.54,5533.63,5441.99,5667.57,5660.52,5653.47,5745.11,5653.47,5632.32,5745.11,5716.91,5434.94,5540.68,5470.19,5540.68,5456.09,5413.8,5554.78,5512.49,5505.44,5470.19,5512.49,5547.73,5413.8,5272.81,5244.62,5251.67,5061.34,4983.8
Nucor Steel Darlington plant,34.375628, -79.895165,South Carolina,907,Darlington,SRVC,SERC Virginia/Carolina,1186.78,Southern,842.61,17442.31,5833.37,5973.44,5767.46,5891.05,6097.03,6055.83,5965.2,5866.33,6113.5,6097.03,6154.7,6129.98,6228.85,6204.14,6319.49,6278.29,6533.7,6484.27,6541.94,6451.31,6467.79,6360.68,6624.34,6616.1,6607.86,6714.97,6607.86,6583.14,6714.97,6682.01,6352.44,6476.03,6393.64,6476.03,6377.16,6327.72,6492.51,6443.07,6434.83,6393.64,6443.07,6484.27,6327.72,6162.94,6129.98,6138.22,5915.76,5825.13
Liberty Steel Georgetown plant,33.367258, -79.292515,South Carolina,908,Georgetown,SRVC,SERC Virginia/Carolina,1186.78,Southern,842.61,17461.54,5839.8,5980.02,5773.82,5897.54,6103.75,6062.51,5971.78,5872.8,6120.24,6103.75,6161.49,6136.74,6235.72,6210.98,6326.45,6285.21,6540.91,6491.42,6549.16,6458.43,6474.92,6367.69,6631.64,6623.39,6615.14,6722.37,6615.14,6590.4,6722.37,6689.38,6359.45,6483.17,6400.69,6483.17,6384.19,6334.7,6499.67,6450.18,6441.93,6400.69,6450.18,6491.42,6334.7,6169.73,6136.74,6144.99,5922.29,5831.55
Nucor Steel Berkeley plant,33.004319, -79.880955,South Carolina,2956,Huger,SRVC,SERC Virginia/Carolina,1186.78,Southern,842.61,56846.15,19011.52,19468.01,18796.7,19199.48,19870.79,19736.53,19441.15,19118.93,19924.5,19870.79,20058.76,19978.2,20300.43,20219.87,20595.81,20461.55,21293.97,21132.86,21320.82,21025.45,21079.15,20730.07,21589.35,21562.5,21535.64,21884.72,21535.64,21455.09,21884.72,21777.31,20703.22,21106,20837.48,21106,20783.78,20622.66,21159.71,20998.59,20971.74,20837.48,20998.59,21132.86,20622.66,20085.61,19978.2,20005.05,19280.04,18984.66
CMC Tennessee steel plant,35.978104, -83.956572,Tennessee,544,Knoxville,SRTV,SERC Tennessee Valley,1597.81,Southern,1134.44,10461.54,4710.49,4823.59,4657.26,4757.06,4923.39,4890.13,4816.94,4737.1,4936.7,4923.39,4969.97,4950.01,5029.84,5009.88,5103.03,5069.76,5276.01,5236.09,5282.67,5209.48,5222.79,5136.3,5349.2,5342.55,5335.89,5422.39,5335.89,5315.93,5422.39,5395.77,5129.64,5229.44,5162.91,5229.44,5149.6,5109.68,5242.75,5202.83,5196.18,5162.91,5202.83,5236.09,5109.68,4976.62,4950.01,4956.66,4777.02,4703.84
Nucor Steel Memphis plant,35.048395, -90.163033,Tennessee,891,Memphis,SRTV,SERC Tennessee Valley,1597.81,Southern,1134.44,17134.62,7715.16,7900.41,7627.98,7791.44,8063.87,8009.38,7889.51,7758.75,8085.66,8063.87,8140.15,8107.45,8238.22,8205.53,8358.09,8303.6,8641.41,8576.03,8652.31,8532.44,8554.24,8412.57,8761.28,8750.38,8739.49,8881.15,8739.49,8706.8,8881.15,8837.56,8401.68,8565.13,8456.16,8565.13,8434.37,8368.99,8586.93,8521.54,8510.65,8456.16,8521.54,8576.03,8368.99,8151.04,8107.45,8118.35,7824.13,7704.26
Optimus Steel Beaumont plant,30.08201, -94.074694,Texas,700,Beaumont,SRMV,SERC Mississippi Valley,1059.86,Southern,752.5,13461.54,4020.57,4117.11,3975.14,4060.32,4202.29,4173.89,4111.43,4043.28,4213.65,4202.29,4242.04,4225,4293.15,4276.11,4355.61,4327.22,4503.26,4469.19,4508.94,4446.47,4457.83,4384.01,4565.73,4560.05,4554.37,4628.2,4554.37,4537.33,4628.2,4605.48,4378.33,4463.51,4406.72,4463.51,4395.37,4361.29,4474.87,4440.8,4435.12,4406.72,4440.8,4469.19,4361.29,4247.72,4225,4230.68,4077.35,4014.89
Nucor Steel Jewett plant,31.351853, -96.165436,Texas,907,Jewett,SRMV,SERC Mississippi Valley,1059.86,Southern,752.5,17442.31,5209.51,5334.59,5150.64,5261.01,5444.96,5408.17,5327.24,5238.94,5459.68,5444.96,5496.47,5474.4,5562.69,5540.62,5643.63,5606.84,5834.94,5790.79,5842.3,5761.36,5776.08,5680.42,5915.88,5908.52,5901.16,5996.82,5901.16,5879.09,5996.82,5967.39,5673.06,5783.43,5709.85,5783.43,5695.14,5650.99,5798.15,5754,5746.64,5709.85,5754,5790.79,5650.99,5503.83,5474.4,5481.75,5283.09,5202.15
Gerdau Midlothian Steel Mill,32.457544, -97.034246,Texas,1786,Midlothian,ERCT,ERCOT All,1257.95,Southern,893.15,34346.15,12175.55,12467.9,12037.98,12295.93,12725.86,12639.87,12450.71,12244.34,12760.25,12725.86,12846.24,12794.65,13001.01,12949.42,13190.18,13104.2,13637.31,13534.12,13654.5,13465.34,13499.73,13276.17,13826.48,13809.28,13792.08,14015.64,13792.08,13740.49,14015.64,13946.85,13258.97,13516.93,13344.96,13516.93,13310.56,13207.38,13551.32,13448.14,13430.94,13344.96,13448.14,13534.12,13207.38,12863.44,12794.65,12811.85,12347.52,12158.36
CMC Steel Texas plant,29.577459, -98.032017,Texas,943,Seguin,ERCT,ERCOT All,1257.95,Southern,893.15,18134.62,6428.64,6583,6356,6492.2,6719.2,6673.8,6573.92,6464.96,6737.36,6719.2,6782.76,6755.52,6864.48,6837.24,6964.36,6918.96,7200.44,7145.96,7209.52,7109.64,7127.8,7009.76,7300.32,7291.24,7282.16,7400.2,7282.16,7254.92,7400.2,7363.88,7000.68,7136.88,7046.08,7136.88,7027.92,6973.44,7155.04,7100.56,7091.48,7046.08,7100.56,7145.96,6973.44,6791.84,6755.52,6764.6,6519.44,6419.56
Steel Dynamics Sinton plant,28.051820, -97.488040,Texas,2722,Sinton,ERCT,ERCOT All,1257.95,Southern,893.15,52346.15,18556.47,19002.03,18346.79,18739.94,19395.18,19264.13,18975.82,18661.31,19447.6,19395.18,19578.65,19500.02,19814.54,19735.91,20102.84,19971.79,20784.29,20627.04,20810.5,20522.2,20574.62,20233.89,21072.6,21046.39,21020.18,21360.91,21020.18,20941.55,21360.91,21256.07,20207.68,20600.83,20338.73,20600.83,20286.31,20129.05,20653.25,20495.99,20469.78,20338.73,20495.99,20627.04,20129.05,19604.86,19500.02,19526.23,18818.57,18530.26
Nucor Steel Plymouth plant,41.882789, -112.196743,Utah,908,Plymouth,NWPP,WECC Northwest,1529.88,Western,1086.21,17461.54,6801.92,7393.39,7097.66,7294.81,6900.5,6210.45,6013.29,7491.97,6999.08,6801.92,7196.23,6999.08,6999.08,7491.97,7689.13,7886.28,7294.81,7393.39,7294.81,7590.55,7196.23,7491.97,7491.97,7787.71,7393.39,7294.81,7393.39,7196.23,7491.97,7294.81,7393.39,7886.28,7491.97,6900.5,7491.97,7886.28,7984.86,7491.97,7787.71,7689.13,7393.39,7590.55,7393.39,7491.97,7689.13,7294.81,6900.5,6801.92
Gerdau Petersburg Steel Mill,37.181168, -77.449517,Virginia,1000,Petersburg,SRVC,SERC Virginia/Carolina,1186.78,Southern,842.61,19230.77,6431.5,6585.93,6358.83,6495.09,6722.19,6676.77,6576.85,6467.84,6740.36,6722.19,6785.78,6758.53,6867.53,6840.28,6967.46,6922.04,7203.64,7149.14,7212.73,7112.8,7130.97,7012.88,7303.57,7294.48,7285.4,7403.49,7285.4,7258.15,7403.49,7367.16,7003.79,7140.06,7049.22,7140.06,7031.05,6976.54,7158.22,7103.72,7094.64,7049.22,7103.72,7149.14,6976.54,6794.86,6758.53,6767.61,6522.34,6422.42
Steel Dynamics Roanoke steel plant,37.272927, -79.998828,Virginia,660,Roanoke,RFCW,RFC West,1621.12,Southern,1151,12692.31,5798.32,5937.55,5732.8,5855.65,6060.39,6019.44,5929.36,5831.08,6076.77,6060.39,6117.72,6093.15,6191.43,6166.86,6281.51,6240.56,6494.45,6445.31,6502.64,6412.55,6428.93,6322.46,6584.53,6576.34,6568.15,6674.62,6568.15,6543.58,6674.62,6641.86,6314.27,6437.12,6355.22,6437.12,6338.84,6289.7,6453.5,6404.36,6396.17,6355.22,6404.36,6445.31,6289.7,6125.91,6093.15,6101.34,5880.22,5790.13
Nucor Steel Seattle plant,47.569597, -122.367395,Washington,855,Seattle,NWPP,WECC Northwest,1529.88,Western,1086.21,16442.31,6404.89,6961.84,6683.36,6869.01,6497.72,5847.94,5662.3,7054.66,6590.54,6404.89,6776.19,6590.54,6590.54,7054.66,7240.31,7425.96,6869.01,6961.84,6869.01,7147.49,6776.19,7054.66,7054.66,7333.14,6961.84,6869.01,6961.84,6776.19,7054.66,6869.01,6961.84,7425.96,7054.66,6497.72,7054.66,7425.96,7518.79,7054.66,7333.14,7240.31,6961.84,7147.49,6961.84,7054.66,7240.31,6869.01,6497.72,6404.89
Charter Steel Saukville plant,43.400533, -87.94820,Wisconsin,550,Saukville,RFCW,RFC West,1621.12,Great Lakes,1151,10576.92,3888.27,3888.27,4134.94,4050.55,3953.18,4070.02,4024.58,4005.11,3959.67,4044.06,3914.23,3966.16,3998.62,3992.13,3998.62,4031.08,4121.95,4193.36,4070.02,4115.46,4186.87,4206.34,4167.39,4102.48,4167.39,4102.48,4160.9,4141.43,4128.44,4141.43,4219.32,4141.43,4160.9,4219.32,4212.83,4141.43,4147.92,4121.95,4011.6,3972.65,4018.09,4005.11,4057.04,4011.6,4031.08,4018.09,4128.44,4083.01
